1	1	o	7.699165872370
1	10	o	15.844947679989
1	15	b	90.73822023470
1	20	b	1724.70161240539
1	25	b	29318.25639756552
1	30	b	27500.02254100788
1	35	o	26905.913944789368
1	40	b	32387.02791410324
1	45	b	27093.84352612748
1	5	b	14.79217001133
2	1	o	5.213746215690
2	10	o	192.99603462772
2	15	b	255.48257361595
2	20	b	372.49823611102
2	25	b	952.13574735290
2	30	b	2041.779703914
2	35	o	1642.11390586187
2	40	b	6031.0693590610
2	45	b	2949.08683238245
2	5	b	49.73411377636
4	1	o	6.26741819976
4	10	o	281.82548996055
4	15	b	721.7610970777
4	20	b	28885.95986410094
4	25	b	24139.69480832833
4	30	b	33070.14415974714
4	35	o	34551.63092262810
4	40	b	32101.94086903272
4	45	b	28336.05735038237
4	5	b	50.76280882340
