1	5	14.79217	0.8865899	0.83	0	0.07575521	0.1767621
1	15	90.73822	6.152814	12.80	0.20118208	1.45298168	1.2517996
1	20	1724.701612	15.46	46.60	0.66120983	6.33983544	5.5035995
1	30	27500.02254	19.79011	39.20	0.03455966	4.52731575	4.3890771
1	40	32387.02791	22.33	32.20	0	3.28495172	3.6831277
2	5	49.734114	0.9696861	3.17	0.13395327	0.40185981	0.4018598
2	15	255.482574	5.508349	22.60	0.13201209	2.77225388	2.7722539
2	20	372.498236	15.12	79.60	1.62938892	8.71865999	10.2622916
2	30	2041.779704	55.07752	139.00	1.26576045	12.87181007	21.7710797
2	40	6031.069359	125.8	202.00	3.07155244	16.41785552	35.4179896
4	5	50.762809	1.624979	3.96	0.02430582	0.51042219	0.4618106
4	15	721.761097	13.5665	55.10	0.80132488	7.23549232	6.7405564
4	20	28885.95986	25.91	44.60	0.20248757	5.36592055	3.9282588
4	30	33070.14416	29.77467	38.50	0	5.03205449	4.3001193
4	40	32101.94087	30.13	41.30	0	5.02907291	5.0754238
