R1	1	28	3	2	10.6
R2	1	28	2	1	6.5
R4	1	65	6	4	9.3
R1	5	73	0	38	34.2
R2	5	30	0	13	30.2
R4	5	37	5	35	48.7
R1	10	61	2	8	12.7
R2	10	35	5	22	39.5
R4	10	26	0	8	23.5
R1	20	0	0	23	100.0
R2	20	0	0	27	100.0
R4	20	15	1	5	26.2
R1	30	24	0	8	25.0
R4	30	76	3	12	14.8
R1	34	42	4	8	18.5
R2	34	7	2	9	55.6
R4	34	34	0	5	12.8
R1	41	25	1	2	8.9
R4	41	94	5	16	16.1
R1	45	83	0	2	2.4
R4	45	60	1	6	9.7
R1	46	67	1	11	14.6
R4	46	92	0	17	15.6
R1	50	41	2	15	27.6
R4	50	25	1	2	8.9
